invoice_id,subscription_id,invoice_date,due_date,invoice_amount,tax_amount,payment_status,payment_date,payment_method,record_status,status_reason,payment_status_norm
I0000423,S000824,2025-09-01,2025-09-21,97288.7,9731.97,Paid,2025-10-03,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000424,S001353,2025-05-10,2025-05-27,73321.28,2320.23,,,Bank Transfer,SUSPICIOUS,Missing payment_status,Nan
,S000996,2025-07-21,2025-07-10,19429.32,4337.28,Pending,2025-08-24,Card,INVALID,Missing invoice_id; Invoice references non-existent/invalid subscription,Pending
I0000426,S001720,2025-09-04,2025-10-19,47693.95,22293.5,,,Card,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000427,S000597,2026-01-20,2026-03-03,56772.88,15120.13,Paid,2026-01-24,Card,VALID,No issues detected,Paid
I0000428,S001383,2025-08-06,2025-08-20,115423.4,11116.09,Pending,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000429,S002319,2025-12-06,2026-01-19,30904.03,13534.37,,2025-12-16,,SUSPICIOUS,Missing payment_status,Nan
I0000430,S000876,2025-08-01,2025-08-16,,-323.06,Pending,,UPI,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount; Missing invoice_amount,Pending
I0000431,S000728,2024-01-05,2024-02-16,112058.6,479.75,Failed,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000432,S001743,2025-08-07,2025-09-07,118953.92,-2716.41,Pending,2025-08-31,Card,INVALID,Negative tax_amount,Pending
I0000433,S002383,2024-01-19,2024-02-05,8745.44,1800.01,Failed,2024-02-18,UPI,VALID,No issues detected,Failed
I0000434,S001628,2025-03-27,2025-03-15,45786.91,2888.53,Pending,,Card,VALID,No issues detected,Pending
I0000435,S002397,2024-11-13,2024-11-28,116127.73,17272.72,,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000436,S001749,2025-12-09,2026-01-03,5660.71,5311.43,,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000437,S000668,2026-01-18,2026-02-28,18410.85,4381.79,Refunded,,Card,VALID,No issues detected,Refunded
I0000438,S001821,2025-08-02,2025-09-01,81536.76,,,,Card,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000439,S001936,2024-08-11,2024-09-08,117817.06,20379.25,,,Wallet,SUSPICIOUS,Missing payment_status,Nan
I0000440,S001079,2024-06-22,2024-07-31,117160.9,10362.01,Pending,,,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000441,S001545,2026-01-18,2026-02-16,80208.25,22865.84,Failed,,,VALID,No issues detected,Failed
I0000442,S001202,2025-07-13,2025-07-28,42427.69,11408.2,,,UPI,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000443,S000657,2025-06-27,2025-07-04,51946.11,11544.13,,,Card,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000444,S001096,2025-03-26,2025-04-15,38069.86,22734.3,Paid,2025-03-25,,INVALID,Invoice references non-existent/invalid subscription; Payment date earlier than invoice date,Paid
I0000445,S002249,2025-01-28,2025-02-09,1737.06,14861.97,Failed,,Wallet,VALID,No issues detected,Failed
I0000446,S001066,2025-10-07,2025-10-31,24902.64,18637.42,,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000447,S002095,2025-07-03,2025-08-15,104539.91,,Pending,,,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000448,S002069,2025-07-10,2025-07-24,26970.91,12995.91,Pending,,Card,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000449,S001276,2025-06-16,2025-07-03,84888.82,2315.99,Pending,,Card,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000450,S000597,2025-02-24,2025-03-26,,,Failed,,,SUSPICIOUS,Missing invoice_amount,Failed
I0000451,S002065,2025-07-23,2025-09-05,85630.86,-1445.99,Failed,,,INVALID,Negative tax_amount,Failed
I0000452,S001240,2025-12-18,2026-01-10,117122.54,22859.1,Pending,,Card,VALID,No issues detected,Pending
I0000453,S002342,2025-12-26,2026-01-12,22169.0,-3048.02,Failed,,,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Failed
I0000454,S002232,2024-07-17,2024-08-15,113140.22,9178.19,,,Bank Transfer,SUSPICIOUS,Missing payment_status,Nan
I0000455,S000941,2025-04-01,2025-04-27,,19418.05,Failed,,UPI,INVALID,Invoice references non-existent/invalid subscription; Missing invoice_amount,Failed
I0000456,S001875,2024-11-25,2024-12-15,30536.19,19540.71,Pending,,,VALID,No issues detected,Pending
I0000457,S002064,2025-03-02,2025-04-05,117529.78,,Paid,2025-04-30,UPI,VALID,No issues detected,Paid
I0000458,S000381,2024-10-24,2024-11-23,94541.49,17718.66,Refunded,,Bank Transfer,VALID,No issues detected,Refunded
I0000459,S000768,2025-08-30,2025-09-10,32497.65,23305.27,Pending,,Card,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000460,S000951,2025-02-15,2025-02-27,51826.41,16261.38,Refunded,2025-04-30,UPI,INVALID,Invoice references non-existent/invalid subscription,Refunded
,S000930,2025-08-12,2025-09-01,83855.83,13733.18,Failed,,,INVALID,Missing invoice_id; Invoice references non-existent/invalid subscription,Failed
I0000462,S002361,2024-09-02,2024-10-14,60506.09,22063.42,Paid,2024-09-13,UPI,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000463,S001209,2024-07-25,2024-08-07,74035.27,20354.92,Pending,2024-09-12,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000464,S001691,2025-01-21,2025-02-26,80135.16,22230.84,Pending,,,VALID,No issues detected,Pending
I0000465,S000744,2024-03-31,2024-05-06,115625.36,21359.0,,,,SUSPICIOUS,Missing payment_status,Nan
,S001450,2025-11-09,2025-11-27,67591.26,19354.48,Refunded,,UPI,INVALID,Missing invoice_id; Invoice references non-existent/invalid subscription,Refunded
I0000467,S001368,2025-11-09,2025-11-22,17791.9,17959.54,Refunded,2026-01-28,Card,VALID,No issues detected,Refunded
I0000468,S000128,2025-06-10,2025-07-23,25394.93,12620.38,Failed,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000469,S000884,2026-01-03,2026-02-14,,6791.68,Failed,,Card,INVALID,Invoice references non-existent/invalid subscription; Missing invoice_amount,Failed
I0000470,S000127,2024-11-29,2024-12-14,69842.41,-869.55,Paid,2025-01-12,,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Paid
I0000471,S000363,2024-02-04,2024-02-18,106821.6,23688.18,Pending,2024-03-22,,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000472,S001789,2024-06-22,2024-07-01,95051.52,1362.96,Failed,,Bank Transfer,VALID,No issues detected,Failed
I0000473,S000144,2024-03-27,2024-04-22,17865.9,19101.93,Pending,,Card,VALID,No issues detected,Pending
I0000474,S001209,2024-02-20,2024-03-04,17258.62,-2295.78,Refunded,,Wallet,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Refunded
I0000475,S000634,2025-02-27,2025-03-28,86372.4,15584.08,Refunded,,,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000476,S001243,2025-08-12,2025-07-30,6541.38,-2400.03,Paid,2025-10-17,UPI,INVALID,Negative tax_amount,Paid
I0000477,S001194,2024-10-12,2024-11-03,106260.92,6291.57,Pending,,UPI,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000478,S001329,2024-09-18,2024-10-23,15286.36,1964.42,Failed,2024-10-31,UPI,VALID,No issues detected,Failed
I0000479,S001194,2024-03-04,2024-03-18,70977.19,11551.39,,,,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000480,S001752,2024-11-06,2024-11-24,17812.57,23668.4,,,Wallet,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000481,S000286,2024-12-24,2025-01-14,764.67,5566.15,Pending,,Card,VALID,No issues detected,Pending
I0000482,S000092,2025-03-30,2025-03-23,98818.18,1721.61,Refunded,,,VALID,No issues detected,Refunded
I0000483,S000370,2025-08-06,2025-08-27,68786.78,-1046.12,,,Wallet,INVALID,Negative tax_amount; Missing payment_status,Nan
I0000484,S001807,2025-06-28,2025-07-24,64498.97,16692.66,,,Wallet,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000485,S001243,2025-10-04,2025-10-16,,10796.91,Refunded,,,SUSPICIOUS,Missing invoice_amount,Refunded
I0000486,S001336,2024-04-15,2024-05-05,22732.36,-4511.69,Pending,,,INVALID,Negative tax_amount,Pending
I0000487,S002017,2025-03-27,2025-05-08,39065.89,-4629.69,Pending,,Bank Transfer,INVALID,Negative tax_amount,Pending
I0000488,S001542,2025-12-13,2026-01-01,116247.05,12937.26,Paid,2025-12-08,Wallet,INVALID,Invoice references non-existent/invalid subscription; Payment date earlier than invoice date,Paid
I0000489,S001715,2025-11-18,2025-12-25,70227.72,7890.35,,,UPI,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000490,S000408,2024-06-19,2024-08-01,,953.72,Failed,2024-08-31,,INVALID,Invoice references non-existent/invalid subscription; Missing invoice_amount,Failed
I0000491,S002176,2026-01-12,2026-02-06,50315.62,19491.83,,,UPI,SUSPICIOUS,Missing payment_status,Nan
I0000492,S000778,2024-11-14,2024-12-25,76195.85,8058.31,Pending,,UPI,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000493,S000486,2025-12-09,2025-12-06,23563.2,23618.6,Pending,,Card,VALID,No issues detected,Pending
I0000494,S000723,2024-04-06,2024-05-15,73983.24,10282.84,Refunded,,UPI,VALID,No issues detected,Refunded
I0000495,S000885,2024-09-10,2024-09-25,49858.18,-3735.68,Pending,,Wallet,INVALID,Negative tax_amount,Pending
I0000496,S001679,2024-11-24,2024-12-26,57899.33,9594.28,Paid,2025-01-12,Wallet,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000497,S001388,2025-11-24,2025-12-02,,23416.64,Failed,,UPI,INVALID,Invoice references non-existent/invalid subscription; Missing invoice_amount,Failed
I0000498,S001542,2024-12-03,2024-12-29,75823.45,-4630.36,Paid,2025-01-13,,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Paid
I0000499,S000413,2025-01-31,2025-03-12,-111725.41,9871.23,Refunded,,Wallet,INVALID,Invoice references non-existent/invalid subscription; Negative invoice_amount,Refunded
I0000500,S001736,2024-09-24,2024-10-29,104769.75,-2125.83,Pending,2024-10-20,Card,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Pending
I0000501,S000587,2025-01-07,2025-01-25,-16839.2,20227.08,,,Card,INVALID,Invoice references non-existent/invalid subscription; Negative invoice_amount; Missing payment_status,Nan
I0000502,S000605,2025-12-14,2025-12-22,41207.7,6094.36,,,UPI,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000503,S000677,2024-01-04,2024-02-02,73246.91,2676.76,Paid,2024-02-21,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000504,S002257,2024-07-14,2024-07-28,111485.71,193.97,Paid,2024-07-31,,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000505,S002161,2024-04-14,2024-05-29,88224.1,6605.42,Refunded,2024-06-12,,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000506,S001176,2024-11-04,2024-11-23,12412.52,-2307.58,,,Card,INVALID,Negative tax_amount; Missing payment_status,Nan
I0000507,S002328,2024-04-07,2024-04-22,112905.89,22886.95,,2024-06-09,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000508,S002191,2024-05-20,2024-06-24,67991.83,409.97,Failed,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000509,S001395,2024-10-01,2024-10-16,33543.93,18023.58,Failed,,,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000510,S001649,2024-09-11,2024-09-24,64577.24,14840.88,Refunded,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000511,S002350,2024-02-16,2024-03-03,42968.12,-2078.41,Pending,,Bank Transfer,INVALID,Negative tax_amount,Pending
I0000512,S001097,2024-02-04,2024-03-05,3167.52,-4110.36,Paid,2024-02-29,,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Paid
,S002223,2025-08-27,2025-10-04,50295.45,-1097.06,Failed,2025-11-09,UPI,INVALID,Missing invoice_id; Invoice references non-existent/invalid subscription; Negative tax_amount,Failed
I0000514,S000008,2024-01-25,2024-02-22,60511.07,-2138.52,Failed,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Failed
I0000515,S001825,2024-04-13,2024-04-28,-19009.42,1095.3,Pending,,,INVALID,Invoice references non-existent/invalid subscription; Negative invoice_amount,Pending
I0000516,S000879,2025-10-21,2025-11-17,47129.15,23462.98,Pending,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000517,S000720,2025-06-03,2025-06-27,7523.77,3770.98,Paid,2025-06-04,Card,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000518,S000997,2024-05-15,2024-06-06,87923.78,17978.88,,2024-05-26,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000519,S001229,2024-04-24,2024-05-31,107894.37,24441.6,Failed,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000520,S001741,2024-08-21,2024-09-14,116189.65,2013.49,Failed,,,VALID,No issues detected,Failed
I0000521,S001355,2025-12-06,2025-12-30,-74800.01,11091.61,Failed,,Wallet,INVALID,Invoice references non-existent/invalid subscription; Negative invoice_amount,Failed
I0000522,S000954,2024-09-23,2024-10-20,30741.51,-4669.15,Paid,2024-10-04,Card,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Paid
I0000523,S000886,2025-11-24,2025-12-04,4545.7,-3242.36,,,UPI,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount; Missing payment_status,Nan
I0000524,S000482,2025-08-21,2025-09-17,104816.42,-4893.04,Refunded,,Wallet,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Refunded
I0000525,S001595,2025-02-26,2025-03-16,75174.57,-1628.65,Failed,,Card,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Failed
I0000526,S000245,2025-07-24,2025-08-08,18850.3,12490.99,,,Wallet,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000527,S001192,2025-06-02,2025-07-17,88962.5,17350.37,Failed,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000528,S001694,2025-01-18,2025-02-24,9363.29,7125.78,Failed,,,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000529,S000572,2024-01-30,2024-02-25,-70412.2,7163.29,Paid,2024-03-06,Wallet,INVALID,Invoice references non-existent/invalid subscription; Negative invoice_amount,Paid
I0000530,S002087,2026-01-24,2026-02-17,9858.15,1707.04,Pending,,Card,VALID,No issues detected,Pending
I0000531,S001280,2024-08-24,2024-09-26,34578.06,-3205.91,Paid,2024-09-17,Card,INVALID,Negative tax_amount,Paid
I0000532,S001302,2024-12-02,2024-12-11,52783.68,9197.95,Pending,,,VALID,No issues detected,Pending
,S001500,2025-05-27,2025-06-15,56647.63,2686.0,,,Card,INVALID,Missing invoice_id; Missing payment_status,Nan
I0000534,S002239,2024-02-02,2024-03-11,85526.19,-3757.22,,,Wallet,INVALID,Negative tax_amount; Missing payment_status,Nan
I0000535,S002221,2025-03-10,2025-04-08,96909.53,10537.62,Paid,2025-05-09,Bank Transfer,VALID,No issues detected,Paid
I0000536,S001404,2025-07-05,2025-06-20,48530.99,19361.43,Refunded,2025-07-17,UPI,VALID,No issues detected,Refunded
,S000597,2024-05-07,2024-05-18,,8559.21,Paid,2024-05-10,Bank Transfer,INVALID,Missing invoice_id; Missing invoice_amount,Paid
I0000538,S002134,2024-07-04,2024-07-28,33617.07,23071.84,Paid,2024-07-02,UPI,INVALID,Invoice references non-existent/invalid subscription; Payment date earlier than invoice date,Paid
I0000539,S001914,2024-01-21,2024-01-31,59227.15,11787.87,,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000540,S000903,2025-07-20,2025-08-12,89574.1,-2087.18,Refunded,,UPI,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Refunded
I0000541,S000320,2025-10-31,2025-11-29,112761.94,20253.28,,,UPI,SUSPICIOUS,Missing payment_status,Nan
I0000542,S000416,2024-05-03,2024-06-14,41534.56,14640.6,Pending,2024-06-09,,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000543,S002343,2025-10-06,2025-11-12,61917.74,16752.93,Refunded,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000544,S001796,2026-01-12,2026-02-12,,18722.69,Paid,2026-02-19,Bank Transfer,SUSPICIOUS,Missing invoice_amount,Paid
I0000545,S001633,2025-07-02,2025-08-07,58031.65,16521.28,,,,SUSPICIOUS,Missing payment_status,Nan
I0000546,S001896,2024-04-26,2024-05-03,104058.03,-3917.71,Failed,,Bank Transfer,INVALID,Negative tax_amount,Failed
I0000547,S001626,2024-06-22,2024-07-19,62079.43,6238.15,Paid,2024-06-19,Bank Transfer,INVALID,Payment date earlier than invoice date,Paid
I0000548,S002189,2024-04-11,2024-05-21,90766.32,8767.87,Paid,2024-06-06,Card,VALID,No issues detected,Paid
I0000549,S001688,2025-06-12,2025-06-19,38740.15,1669.46,Pending,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000550,S000047,2025-11-14,2025-11-29,108033.79,-755.27,,,Wallet,INVALID,Negative tax_amount; Missing payment_status,Nan
I0000551,S001074,2026-01-17,2026-02-23,66133.38,2935.93,Failed,2026-01-09,UPI,INVALID,Payment date earlier than invoice date,Failed
I0000552,S000622,2024-01-30,2024-02-18,52725.51,4391.61,,,Wallet,SUSPICIOUS,Missing payment_status,Nan
I0000553,S001613,2024-03-06,2024-02-25,101629.05,19680.16,Paid,2024-04-25,,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000554,S001569,2024-10-09,2024-11-03,-35299.81,14891.52,Failed,,,INVALID,Negative invoice_amount,Failed
I0000555,S000318,2025-05-14,2025-06-23,118591.92,17206.24,,2025-06-08,,SUSPICIOUS,Missing payment_status,Nan
I0000556,S001906,2024-09-25,2024-10-03,118703.29,-3856.53,Refunded,2024-10-10,Wallet,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Refunded
I0000557,S001023,2024-02-23,2024-03-21,83099.07,722.17,Pending,,,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000558,S000740,2025-08-16,2025-08-30,51422.37,-2149.86,Failed,,UPI,INVALID,Negative tax_amount,Failed
I0000559,S001685,2025-12-22,2026-01-31,54708.84,-275.09,Pending,,Card,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Pending
I0000560,S001832,2025-05-15,2025-06-05,112510.32,6865.76,Paid,2025-06-26,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000561,S000866,2025-10-24,2025-11-28,26268.22,3795.46,Pending,,Wallet,VALID,No issues detected,Pending
I0000562,S001750,2024-09-02,2024-09-28,72595.13,11783.86,Pending,,Card,VALID,No issues detected,Pending
I0000563,S000337,2025-08-10,2025-09-16,35381.24,5005.65,,,UPI,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000564,S000611,2025-03-11,2025-04-02,104579.2,18257.34,,2025-05-21,,SUSPICIOUS,Missing payment_status,Nan
I0000565,S000746,2025-02-26,2025-04-04,7629.99,12312.93,Paid,2025-04-21,Card,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000566,S000390,2024-01-31,2024-02-14,113555.42,5559.58,Paid,2024-02-04,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000567,S000897,2025-11-05,2025-12-04,84054.19,104.21,,2026-01-14,Card,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000568,S001535,2024-08-18,2024-09-22,77252.27,10494.78,Refunded,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000569,S001210,2024-09-24,2024-10-06,,3206.23,Failed,2024-12-13,UPI,SUSPICIOUS,Missing invoice_amount,Failed
I0000570,S002130,2025-01-27,2025-03-10,60368.5,-2938.21,Refunded,,Wallet,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Refunded
I0000571,S001348,2024-11-14,2024-11-08,,-2296.12,Failed,,Wallet,INVALID,Negative tax_amount; Missing invoice_amount,Failed
I0000572,S000535,2025-02-17,2025-03-09,44634.12,20214.27,Paid,2025-03-19,UPI,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000573,S001506,2024-08-15,2024-09-21,72352.45,3432.35,Paid,2024-08-11,Card,INVALID,Payment date earlier than invoice date,Paid
I0000574,S000788,2024-03-28,2024-04-15,44556.62,24965.02,Paid,2024-04-11,UPI,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000575,S002239,2024-01-29,2024-03-08,16641.27,12007.67,Refunded,,,VALID,No issues detected,Refunded
I0000576,S000528,2024-10-29,2024-11-17,26203.54,21586.37,,,Card,SUSPICIOUS,Missing payment_status,Nan
I0000577,S002359,2024-05-12,2024-06-26,28720.59,11651.22,Paid,2024-06-04,Card,VALID,No issues detected,Paid
I0000578,S002297,2025-08-02,2025-08-28,78038.19,13098.32,Pending,,Card,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000579,S000282,2025-08-18,2025-09-19,86821.11,16732.34,,,UPI,SUSPICIOUS,Missing payment_status,Nan
I0000580,S000497,2025-09-29,2025-11-06,17959.88,9339.61,,,,SUSPICIOUS,Missing payment_status,Nan
I0000581,S001635,2024-07-28,2024-08-07,51257.32,4938.36,,2024-08-28,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000582,S000146,2025-08-20,2025-09-08,84594.48,22221.92,Refunded,,Wallet,VALID,No issues detected,Refunded
I0000583,S000401,2024-01-13,2024-02-25,67794.95,-3404.05,Failed,,,INVALID,Negative tax_amount,Failed
I0000584,S000170,2025-10-12,2025-11-19,65472.18,-1159.9,,2025-12-27,Card,INVALID,Negative tax_amount; Missing payment_status,Nan
I0000585,S000851,2025-12-09,2026-01-10,,182.69,Failed,,UPI,INVALID,Invoice references non-existent/invalid subscription; Missing invoice_amount,Failed
I0000586,S002282,2025-03-21,2025-03-31,93281.57,6890.57,,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000587,S001141,2024-10-06,2024-09-24,46496.13,12845.21,Pending,,Card,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000588,S000741,2024-11-03,2024-11-13,10112.24,5838.29,Failed,,Wallet,VALID,No issues detected,Failed
I0000589,S001696,2025-03-11,2025-03-26,5138.08,6755.72,Failed,,,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000590,S001514,2024-05-11,2024-05-05,77152.43,22610.06,Pending,,,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000591,S001289,2025-04-05,2025-05-14,48855.73,4536.85,Paid,2025-03-29,UPI,INVALID,Invoice references non-existent/invalid subscription; Payment date earlier than invoice date,Paid
I0000592,S001755,2025-02-15,2025-03-30,48577.28,,Refunded,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000593,S002263,2025-10-17,2025-11-16,8688.86,-16.78,,,UPI,INVALID,Negative tax_amount; Missing payment_status,Nan
I0000594,S002303,2025-02-10,2025-03-27,53835.8,18348.51,Pending,2025-04-27,Bank Transfer,VALID,No issues detected,Pending
I0000595,S001983,2025-02-28,2025-04-04,46305.01,23650.29,Failed,,UPI,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000596,S001563,2024-07-16,2024-08-07,84376.42,11355.2,Paid,2024-09-19,,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000597,S001018,2024-12-19,2025-01-21,54250.78,12157.38,Paid,2025-01-18,Card,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000598,S002341,2024-01-04,2024-01-31,88596.64,10756.71,Refunded,2024-03-08,,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000599,S000204,2025-12-06,2025-12-23,60172.12,3690.69,Pending,,UPI,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000600,S001607,2024-07-05,2024-06-23,53245.37,17060.17,,,Wallet,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000601,S002050,2025-02-20,2025-03-09,88897.81,233.46,Paid,2025-02-12,Wallet,INVALID,Payment date earlier than invoice date,Paid
I0000602,S001483,2024-11-17,2024-11-27,15175.29,19281.18,Paid,2025-01-18,,INVALID,Invoice references non-existent/invalid subscription,Paid
,S000097,2024-09-19,2024-09-28,104070.11,12021.5,Refunded,,UPI,INVALID,Missing invoice_id; Invoice references non-existent/invalid subscription,Refunded
I0000604,S000287,2024-04-04,2024-04-25,51394.19,22672.77,Refunded,2024-06-11,Card,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000605,S001033,2025-05-21,2025-07-03,59274.26,21940.16,,,,SUSPICIOUS,Missing payment_status,Nan
I0000606,S002280,2024-06-14,2024-06-26,22254.86,7567.6,Refunded,2024-08-03,Wallet,VALID,No issues detected,Refunded
I0000607,S002019,2025-12-24,2026-01-31,-9571.29,19283.54,Pending,,UPI,INVALID,Invoice references non-existent/invalid subscription; Negative invoice_amount,Pending
I0000608,S000469,2024-12-07,2024-12-23,78108.78,-3713.37,Refunded,,,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Refunded
I0000609,S000504,2025-02-04,2025-03-19,101592.43,3962.57,Refunded,,Wallet,VALID,No issues detected,Refunded
I0000610,S001644,2025-02-09,2025-02-16,17551.53,19923.14,Failed,,Card,VALID,No issues detected,Failed
I0000611,S000706,2025-02-19,2025-03-15,73684.53,4330.95,Refunded,,,VALID,No issues detected,Refunded
I0000612,S002180,2026-01-16,2026-02-20,115515.24,9655.0,Pending,,Card,VALID,No issues detected,Pending
I0000613,S001811,2024-12-14,2025-01-08,62145.16,12632.79,Refunded,,,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000614,S001053,2024-06-12,2024-07-23,71575.81,182.31,Paid,2024-08-05,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000615,S001821,2025-09-24,2025-10-25,119011.64,23400.16,Failed,2025-12-13,,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000616,S002324,2025-10-27,2025-10-23,30130.73,8737.33,,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000617,S002127,2024-08-25,2024-09-03,74945.98,,Pending,2024-11-06,Card,VALID,No issues detected,Pending
,S002113,2025-04-28,2025-05-14,70019.46,-3260.94,Failed,2025-06-20,,INVALID,Missing invoice_id; Invoice references non-existent/invalid subscription; Negative tax_amount,Failed
I0000619,S000101,2025-03-31,2025-04-28,44629.84,20468.83,Paid,2025-04-08,,VALID,No issues detected,Paid
I0000620,S000110,2026-01-10,2026-01-02,119058.39,5127.91,Failed,,,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000621,S001279,2024-07-02,2024-08-15,,15160.38,,,Wallet,INVALID,Invoice references non-existent/invalid subscription; Missing invoice_amount; Missing payment_status,Nan
I0000622,S000269,2025-10-19,2025-11-27,111528.87,24288.87,,,,SUSPICIOUS,Missing payment_status,Nan
I0000623,S002252,2024-08-11,2024-09-13,22328.25,-1694.32,Failed,,,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Failed
