case_id,customer_id,opened_date,closed_date,priority,case_type,case_status,resolution_hours,csat_score,refund_requested,record_status,status_reason,case_status_norm
CS000296,C00758,2025-05-06,,Low,Data Issue,Closed,,5.0,,INVALID,Closed case missing closure date/resolution hours,Closed
CS000297,C01146,2024-08-12,2024-08-14 14:00:00,High,Technical,Closed,149.0,3.0,Y,INVALID,Support case references customer not in subscriptions,Closed
CS000298,C01571,2024-03-27,2024-04-17 12:00:00,,Billing,,,2.0,Y,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
CS000299,C01766,2025-12-21,2025-12-27 10:00:00,High,,Escalated,,3.0,,INVALID,Support case references customer not in subscriptions,Escalated
CS000300,C01742,2024-02-06,,Low,,Escalated,633.0,1.0,Y,INVALID,Support case references customer not in subscriptions,Escalated
CS000301,C00424,2024-04-29,2024-06-01 07:00:00,,Billing,,15.0,,N,SUSPICIOUS,Missing case_status,Nan
CS000302,C01201,2025-05-24,2025-05-21 00:00:00,Critical,Technical,Pending,981.0,4.0,Y,INVALID,Closed date earlier than opened date,Pending
CS000303,C01568,2025-08-02,2025-08-04 12:00:00,High,Cancellation,Escalated,-52.0,0.0,,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Escalated
CS000304,C00306,2024-08-11,2024-08-26 20:00:00,Medium,Technical,Pending,-60.0,1.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Pending
CS000305,C00432,2025-11-17,2025-11-24 09:00:00,Medium,Billing,Escalated,190.0,4.0,Y,INVALID,Support case references customer not in subscriptions,Escalated
CS000306,C00119,2024-01-25,2024-02-28 14:00:00,Critical,,Pending,829.0,5.0,Y,VALID,No issues detected,Pending
CS000307,C00595,2025-07-15,2025-08-03 16:00:00,Medium,Data Issue,Closed,-46.0,3.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Closed
CS000308,C01468,2025-05-13,,Medium,Technical,Closed,703.0,1.0,N,INVALID,Support case references customer not in subscriptions; Closed case missing closure date/resolution hours,Closed
,C01628,2024-05-25,2024-06-24 14:00:00,Low,Cancellation,Closed,-6.0,3.0,Y,INVALID,Missing case_id; Support case references customer not in subscriptions; Negative resolution_hours,Closed
,C01574,2024-05-07,2024-06-15 23:00:00,High,Technical,Escalated,287.0,6.0,,INVALID,Missing case_id; CSAT score outside 1-5 range,Escalated
CS000311,C00189,2024-11-13,2024-12-07 16:00:00,,Billing,Closed,-99.0,7.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Closed
CS000312,C00898,2025-07-05,2025-07-08 12:00:00,Medium,Technical,,626.0,3.0,Y,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
CS000313,C00834,2025-11-18,2025-12-03 13:00:00,Low,Technical,Open,,1.0,N,VALID,No issues detected,Open
CS000314,C01037,2024-03-08,2024-03-16 15:00:00,,Access,Escalated,787.0,6.0,Y,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Escalated
CS000315,C00521,2025-11-04,2025-11-16 01:00:00,Medium,Access,,,,Y,SUSPICIOUS,Missing case_status,Nan
CS000316,C00143,2024-03-27,2024-04-24 20:00:00,Critical,Cancellation,Closed,-38.0,6.0,Y,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Closed
CS000317,C00204,2025-01-08,2025-02-02 02:00:00,High,,Escalated,,3.0,Y,INVALID,Support case references customer not in subscriptions,Escalated
CS000318,C00400,2024-03-26,2024-03-27 22:00:00,Medium,Cancellation,Escalated,-54.0,6.0,Y,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Escalated
CS000319,C00586,2025-11-01,2025-11-10 13:00:00,High,Billing,Escalated,470.0,3.0,Y,VALID,No issues detected,Escalated
CS000320,C01454,2025-10-02,2025-11-07 21:00:00,High,Cancellation,,765.0,,N,SUSPICIOUS,Missing case_status,Nan
CS000321,C01505,2025-08-16,,High,Data Issue,,337.0,0.0,N,INVALID,CSAT score outside 1-5 range; Missing case_status,Nan
CS000322,C00550,2025-08-20,2025-08-24 18:00:00,Critical,Data Issue,,,,Y,SUSPICIOUS,Missing case_status,Nan
CS000323,C00032,2024-08-15,2024-09-08 22:00:00,,Data Issue,,,0.0,Y,INVALID,CSAT score outside 1-5 range; Missing case_status,Nan
CS000324,C00128,2024-10-11,2024-10-30 13:00:00,Medium,,,,1.0,N,SUSPICIOUS,Missing case_status,Nan
CS000325,C00482,2024-09-28,2024-10-01 01:00:00,,,Closed,,2.0,N,INVALID,Support case references customer not in subscriptions; Closed case missing closure date/resolution hours,Closed
CS000326,C01463,2025-01-01,2025-01-06 21:00:00,High,Data Issue,Pending,-28.0,6.0,N,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Pending
CS000327,C00270,2024-08-04,2024-07-28 00:00:00,Low,,Open,,4.0,Y,INVALID,Closed date earlier than opened date,Open
CS000328,C01325,2025-12-26,2026-02-03 09:00:00,Critical,Billing,Escalated,336.0,,N,VALID,No issues detected,Escalated
CS000329,C01442,2025-04-26,2025-04-17 00:00:00,Low,Data Issue,Escalated,,0.0,N,INVALID,Closed date earlier than opened date; CSAT score outside 1-5 range,Escalated
CS000330,C01742,2025-01-04,2025-02-08 00:00:00,,Technical,Closed,827.0,1.0,Y,INVALID,Support case references customer not in subscriptions,Closed
CS000331,C01479,2024-10-10,,,Access,Closed,,,,INVALID,Support case references customer not in subscriptions; Closed case missing closure date/resolution hours,Closed
CS000332,C00042,2025-07-30,2025-09-02 03:00:00,Low,Data Issue,Escalated,509.0,2.0,,VALID,No issues detected,Escalated
CS000333,C01647,2024-01-03,2024-01-19 05:00:00,,Technical,Escalated,257.0,3.0,Y,VALID,No issues detected,Escalated
CS000334,C01608,2025-09-04,2025-09-16 00:00:00,,Access,Open,,5.0,Y,VALID,No issues detected,Open
CS000335,C00263,2026-01-09,2026-01-28 02:00:00,,,Open,-31.0,,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Open
CS000336,C00896,2025-02-06,2025-01-27 00:00:00,High,Cancellation,Open,252.0,1.0,N,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date,Open
CS000337,C01127,2025-12-24,2026-01-12 04:00:00,Critical,,Open,,,,VALID,No issues detected,Open
CS000338,C00660,2024-05-30,2024-06-27 21:00:00,Critical,Data Issue,Open,,7.0,N,INVALID,CSAT score outside 1-5 range,Open
CS000339,C01579,2025-03-28,2025-04-05 17:00:00,Critical,Access,,708.0,1.0,N,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
CS000340,C01060,2025-09-27,,Medium,Data Issue,,-62.0,5.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; Missing case_status,Nan
CS000341,C00186,2025-01-03,2025-02-05 10:00:00,Low,,Escalated,-21.0,3.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Escalated
CS000342,C00872,2024-07-29,,,Technical,Open,-15.0,5.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Open
CS000343,C00350,2025-05-27,2025-06-14 14:00:00,Medium,,Open,741.0,1.0,N,INVALID,Support case references customer not in subscriptions,Open
CS000344,C00203,2025-07-15,2025-08-02 12:00:00,Medium,Cancellation,,,0.0,N,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Missing case_status,Nan
CS000345,C00510,2025-10-21,,Critical,Cancellation,,255.0,3.0,,SUSPICIOUS,Missing case_status,Nan
CS000346,C00188,2024-11-06,2024-10-30 00:00:00,Critical,Billing,Pending,-30.0,3.0,,INVALID,Closed date earlier than opened date; Negative resolution_hours,Pending
CS000347,C00073,2024-12-06,2024-12-22 11:00:00,Critical,Cancellation,Open,527.0,,,INVALID,Support case references customer not in subscriptions,Open
CS000348,C00345,2025-09-09,2025-09-06 00:00:00,Medium,,Closed,238.0,5.0,Y,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date,Closed
CS000349,C00606,2025-08-16,2025-09-16 08:00:00,Medium,Technical,Escalated,,5.0,Y,INVALID,Support case references customer not in subscriptions,Escalated
CS000350,C00247,2025-03-15,2025-04-23 16:00:00,High,Cancellation,Closed,,7.0,Y,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Closed case missing closure date/resolution hours,Closed
CS000351,C01016,2024-07-13,2024-08-11 06:00:00,Critical,Data Issue,Open,-81.0,7.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Open
CS000352,C01419,2024-04-27,2024-05-21 07:00:00,Low,Access,Closed,,,Y,INVALID,Support case references customer not in subscriptions; Closed case missing closure date/resolution hours,Closed
CS000353,C00767,2024-09-11,2024-10-08 17:00:00,Medium,Technical,Open,269.0,2.0,,INVALID,Support case references customer not in subscriptions,Open
CS000354,C00819,2025-09-24,2025-09-26 09:00:00,Low,,,667.0,1.0,Y,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
CS000355,C01535,2025-12-08,2026-01-05 14:00:00,Medium,Technical,Closed,,2.0,Y,INVALID,Support case references customer not in subscriptions; Closed case missing closure date/resolution hours,Closed
CS000356,C00742,2024-03-02,,,Access,,,3.0,N,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
CS000357,C01400,2025-03-02,,Low,Access,Escalated,649.0,6.0,,INVALID,CSAT score outside 1-5 range,Escalated
CS000358,C01731,2025-08-10,2025-08-30 01:00:00,Medium,Billing,Closed,433.0,6.0,,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Closed
CS000359,C00801,2024-08-01,2024-08-01 23:00:00,Medium,Data Issue,Pending,,,N,INVALID,Support case references customer not in subscriptions,Pending
CS000360,C01736,2025-07-17,2025-08-12 06:00:00,,Data Issue,Open,-22.0,5.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Open
CS000361,C01087,2024-12-06,2025-01-13 10:00:00,,,Pending,,,,INVALID,Support case references customer not in subscriptions,Pending
CS000362,C01158,2026-01-16,2026-02-12 12:00:00,Medium,,Open,,1.0,Y,VALID,No issues detected,Open
CS000363,C00852,2024-03-26,2024-04-11 17:00:00,High,,Escalated,,3.0,Y,INVALID,Support case references customer not in subscriptions,Escalated
CS000364,C00013,2025-08-02,2025-08-04 16:00:00,,Cancellation,Closed,637.0,2.0,Y,VALID,No issues detected,Closed
CS000365,C01098,2024-06-29,2024-07-04 01:00:00,,Access,Escalated,-83.0,,N,INVALID,Negative resolution_hours,Escalated
CS000366,C01034,2024-05-15,2024-06-09 02:00:00,High,Cancellation,Closed,-65.0,6.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Closed
CS000367,C01373,2024-08-18,2024-08-22 13:00:00,Medium,Billing,Escalated,,6.0,,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Escalated
CS000368,C00014,2024-10-18,2024-10-18 02:00:00,Medium,Cancellation,Open,,,,INVALID,Support case references customer not in subscriptions,Open
CS000369,C00121,2025-06-03,,High,Cancellation,,,0.0,Y,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Missing case_status,Nan
CS000370,C00098,2025-12-12,2026-01-02 05:00:00,,Billing,Closed,-67.0,7.0,Y,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Closed
CS000371,C01633,2025-07-11,,Medium,Cancellation,,,5.0,N,SUSPICIOUS,Missing case_status,Nan
CS000372,C00271,2025-02-28,2025-03-21 04:00:00,Medium,Technical,Escalated,221.0,1.0,,VALID,No issues detected,Escalated
CS000373,C00639,2024-10-18,2024-10-24 23:00:00,Critical,Cancellation,Closed,950.0,7.0,Y,INVALID,CSAT score outside 1-5 range,Closed
CS000374,C01616,2024-01-29,2024-03-02 15:00:00,High,Technical,Open,-99.0,,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Open
CS000375,C01586,2024-12-24,2025-01-29 02:00:00,,Data Issue,,586.0,3.0,Y,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
CS000376,C00582,2024-08-09,2024-08-30 00:00:00,Medium,Cancellation,Closed,777.0,4.0,,INVALID,Support case references customer not in subscriptions,Closed
CS000377,C01177,2024-09-18,2024-10-03 13:00:00,Critical,Access,Open,375.0,,,INVALID,Support case references customer not in subscriptions,Open
CS000378,C00487,2025-12-02,2025-12-29 10:00:00,High,Access,Open,187.0,6.0,,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Open
CS000379,C00828,2024-12-14,2025-01-03 00:00:00,Critical,Cancellation,Escalated,-57.0,3.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Escalated
,C00814,2024-10-02,2024-10-22 08:00:00,High,Billing,Escalated,,0.0,N,INVALID,Missing case_id; Support case references customer not in subscriptions; CSAT score outside 1-5 range,Escalated
CS000381,C00745,2024-05-15,2024-05-22 22:00:00,Critical,Technical,Open,406.0,1.0,,VALID,No issues detected,Open
CS000382,C00845,2025-07-28,,Low,Access,Closed,,6.0,Y,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Closed case missing closure date/resolution hours,Closed
CS000383,C01431,2025-01-21,2025-02-13 11:00:00,Low,Cancellation,Open,,5.0,N,INVALID,Support case references customer not in subscriptions,Open
CS000384,C00671,2025-11-27,2025-12-07 16:00:00,Medium,Cancellation,Escalated,621.0,6.0,,INVALID,CSAT score outside 1-5 range,Escalated
CS000385,C00163,2024-02-13,2024-03-04 17:00:00,Low,Technical,Pending,-16.0,3.0,N,INVALID,Negative resolution_hours,Pending
CS000386,C01118,2025-04-12,,Low,Technical,,,7.0,,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Missing case_status,Nan
CS000387,C01740,2024-06-10,2024-06-15 01:00:00,Medium,Access,Open,374.0,3.0,Y,INVALID,Support case references customer not in subscriptions,Open
CS000388,C00137,2025-03-30,2025-04-13 18:00:00,High,Technical,Pending,,6.0,N,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Pending
CS000389,C00284,2025-09-04,2025-10-13 09:00:00,High,Cancellation,Pending,401.0,4.0,N,INVALID,Support case references customer not in subscriptions,Pending
CS000390,C00569,2024-10-29,,,Technical,Escalated,574.0,5.0,N,INVALID,Support case references customer not in subscriptions,Escalated
CS000391,C00350,2025-01-25,2025-02-21 21:00:00,Medium,Data Issue,Pending,397.0,4.0,,INVALID,Support case references customer not in subscriptions,Pending
,C00363,2025-08-29,2025-09-27 16:00:00,High,Cancellation,Escalated,660.0,3.0,Y,INVALID,Missing case_id; Support case references customer not in subscriptions,Escalated
CS000393,C00492,2024-11-23,2024-12-18 04:00:00,Critical,,,,2.0,Y,SUSPICIOUS,Missing case_status,Nan
CS000394,C00769,2024-02-10,2024-03-01 12:00:00,High,Technical,Open,,,Y,INVALID,Support case references customer not in subscriptions,Open
CS000395,C00715,2024-11-24,2024-11-16 00:00:00,Critical,Data Issue,Escalated,,3.0,Y,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date,Escalated
CS000396,C01482,2025-08-22,,Low,Data Issue,Escalated,,2.0,,VALID,No issues detected,Escalated
CS000397,C00154,2024-08-26,2024-09-17 00:00:00,Low,Cancellation,Closed,,4.0,Y,INVALID,Support case references customer not in subscriptions; Closed case missing closure date/resolution hours,Closed
CS000398,C01602,2024-12-26,2025-01-26 00:00:00,Medium,Access,,487.0,5.0,Y,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
CS000399,C00159,2025-10-16,2025-11-07 05:00:00,High,,Open,,2.0,Y,INVALID,Support case references customer not in subscriptions,Open
CS000400,C00427,2024-11-25,2025-01-02 07:00:00,Medium,,Pending,,5.0,N,INVALID,Support case references customer not in subscriptions,Pending
CS000401,C00692,2025-02-19,2025-02-23 17:00:00,Low,Access,,517.0,2.0,,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
CS000402,C00703,2024-10-22,2024-11-20 20:00:00,,Billing,Escalated,,,,VALID,No issues detected,Escalated
CS000403,C00116,2025-12-24,,Low,Data Issue,Open,-83.0,0.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Open
CS000404,C00942,2024-10-10,2024-10-20 06:00:00,Low,Technical,Pending,-45.0,7.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Pending
CS000405,C01303,2024-02-17,2024-02-12 00:00:00,,,Pending,,,,INVALID,Closed date earlier than opened date,Pending
CS000406,C00156,2024-04-10,2024-04-25 15:00:00,Medium,Data Issue,Escalated,-37.0,0.0,Y,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Escalated
CS000407,C00653,2024-11-24,2024-11-19 00:00:00,Medium,Cancellation,Closed,813.0,0.0,Y,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date; CSAT score outside 1-5 range,Closed
CS000408,C01008,2025-12-28,2026-01-22 14:00:00,,,Open,329.0,6.0,N,INVALID,CSAT score outside 1-5 range,Open
CS000409,C00372,2025-08-10,2025-08-06 00:00:00,High,Technical,Escalated,249.0,7.0,Y,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date; CSAT score outside 1-5 range,Escalated
CS000410,C00686,2024-10-16,2024-11-06 05:00:00,High,Data Issue,Open,,3.0,,VALID,No issues detected,Open
CS000411,C00923,2025-08-07,2025-08-11 09:00:00,Critical,Access,Escalated,151.0,1.0,Y,INVALID,Support case references customer not in subscriptions,Escalated
CS000412,C00644,2024-09-06,2024-10-03 17:00:00,High,Technical,Closed,913.0,7.0,Y,INVALID,CSAT score outside 1-5 range,Closed
CS000413,C00815,2025-12-02,2025-12-28 16:00:00,Medium,Access,Closed,,6.0,,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Closed case missing closure date/resolution hours,Closed
CS000414,C01704,2025-05-18,2025-06-03 13:00:00,Low,Data Issue,Closed,773.0,3.0,Y,INVALID,Support case references customer not in subscriptions,Closed
CS000415,C01794,2025-04-11,,High,Data Issue,Escalated,,5.0,Y,VALID,No issues detected,Escalated
CS000416,C00480,2024-10-17,2024-11-20 15:00:00,Low,Technical,Closed,670.0,2.0,N,INVALID,Support case references customer not in subscriptions,Closed
CS000417,C00787,2025-02-18,2025-03-27 19:00:00,,Technical,,548.0,5.0,N,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
CS000418,C01496,2024-02-18,2024-03-04 05:00:00,Medium,,Escalated,863.0,2.0,N,INVALID,Support case references customer not in subscriptions,Escalated
CS000419,C01535,2025-07-03,2025-07-02 00:00:00,,,Pending,,7.0,Y,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date; CSAT score outside 1-5 range,Pending
CS000420,C00339,2024-11-13,2024-12-17 19:00:00,High,Billing,Closed,-66.0,4.0,N,INVALID,Negative resolution_hours,Closed
CS000421,C00005,2024-04-04,,Medium,Cancellation,,-18.0,3.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; Missing case_status,Nan
CS000422,C00372,2024-12-12,2024-12-06 00:00:00,Low,Access,,74.0,,N,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date; Missing case_status,Nan
CS000423,C01207,2024-12-18,2025-01-04 16:00:00,Critical,Access,,932.0,5.0,Y,SUSPICIOUS,Missing case_status,Nan
CS000424,C01415,2025-01-13,2025-02-10 03:00:00,Critical,,Pending,-7.0,0.0,Y,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Pending
CS000425,C00768,2024-06-06,2024-07-04 11:00:00,Low,Cancellation,Closed,-75.0,5.0,,INVALID,Negative resolution_hours,Closed
CS000426,C01519,2025-12-14,2025-12-31 18:00:00,Medium,Cancellation,Open,596.0,5.0,,INVALID,Support case references customer not in subscriptions,Open
,C01392,2024-06-02,2024-07-01 11:00:00,Medium,Technical,Escalated,-60.0,4.0,,INVALID,Missing case_id; Negative resolution_hours,Escalated
CS000428,C00678,2024-06-15,,Low,,Pending,-69.0,3.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Pending
CS000429,C00663,2025-07-25,2025-08-26 07:00:00,Low,Cancellation,Escalated,323.0,2.0,Y,INVALID,Support case references customer not in subscriptions,Escalated
CS000430,C01124,2024-11-22,2024-11-15 00:00:00,Critical,Cancellation,Open,211.0,4.0,Y,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date,Open
CS000431,C00831,2025-02-27,2025-03-24 08:00:00,High,Access,Escalated,-18.0,6.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Escalated
CS000432,C01521,2025-04-16,2025-04-20 11:00:00,Critical,Access,Pending,-84.0,5.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Pending
CS000433,C00981,2025-02-18,2025-02-21 22:00:00,,Access,Escalated,780.0,7.0,N,INVALID,CSAT score outside 1-5 range,Escalated
CS000434,C00689,2025-02-03,2025-02-14 16:00:00,Low,Access,Pending,,5.0,N,INVALID,Support case references customer not in subscriptions,Pending
CS000435,C01740,2024-08-11,2024-09-01 10:00:00,,Access,Escalated,-97.0,7.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Escalated
CS000436,C01745,2025-06-18,,Low,Access,Open,,4.0,,VALID,No issues detected,Open
CS000437,C01246,2025-10-17,,Medium,Data Issue,Open,814.0,3.0,,VALID,No issues detected,Open
CS000438,C00273,2024-06-19,2024-07-10 01:00:00,Medium,Data Issue,Pending,-22.0,3.0,Y,INVALID,Negative resolution_hours,Pending
CS000439,C00439,2024-02-06,2024-03-13 02:00:00,Critical,,,,0.0,,INVALID,CSAT score outside 1-5 range; Missing case_status,Nan
CS000440,C01763,2025-11-10,2025-11-21 08:00:00,Medium,Technical,Pending,-32.0,2.0,,INVALID,Negative resolution_hours,Pending
CS000441,C01271,2024-08-05,2024-09-11 01:00:00,Low,Technical,Closed,,6.0,Y,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Closed case missing closure date/resolution hours,Closed
,C00297,2025-02-26,,High,Billing,Closed,52.0,7.0,Y,INVALID,Missing case_id; Support case references customer not in subscriptions; CSAT score outside 1-5 range; Closed case missing closure date/resolution hours,Closed
CS000443,C01175,2024-03-29,2024-04-24 21:00:00,High,Data Issue,Escalated,,7.0,Y,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Escalated
CS000444,C01022,2025-08-13,2025-08-06 00:00:00,Critical,Technical,Closed,768.0,,N,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date,Closed
CS000445,C00604,2024-06-13,2024-07-03 00:00:00,Critical,Technical,Pending,,0.0,Y,INVALID,CSAT score outside 1-5 range,Pending
CS000446,C01564,2025-04-28,2025-05-11 13:00:00,,Data Issue,Closed,-8.0,6.0,N,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Closed
CS000447,C00952,2026-01-16,2026-01-20 08:00:00,High,Access,Closed,,5.0,Y,INVALID,Closed case missing closure date/resolution hours,Closed
CS000448,C01673,2024-02-16,2024-02-22 21:00:00,Medium,Access,Open,21.0,4.0,Y,VALID,No issues detected,Open
CS000449,C00388,2024-02-12,2024-02-12 09:00:00,Low,Technical,,,6.0,N,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Missing case_status,Nan
CS000450,C01636,2024-02-20,2024-02-23 08:00:00,Critical,Technical,Pending,-51.0,2.0,N,INVALID,Negative resolution_hours,Pending
CS000451,C00643,2025-02-10,2025-02-28 17:00:00,Critical,Data Issue,Pending,-43.0,2.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Pending
CS000452,C01534,2024-02-26,2024-03-04 01:00:00,Low,Access,Closed,-7.0,6.0,,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Closed
CS000453,C00697,2024-06-09,2024-05-31 00:00:00,,,,-15.0,,N,INVALID,Closed date earlier than opened date; Negative resolution_hours; Missing case_status,Nan
CS000454,C00472,2025-08-15,2025-08-23 07:00:00,Critical,Cancellation,,-28.0,4.0,Y,INVALID,Negative resolution_hours; Missing case_status,Nan
CS000455,C00769,2026-01-08,2026-02-16 05:00:00,Medium,Cancellation,Closed,,7.0,,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Closed case missing closure date/resolution hours,Closed
,C00367,2025-07-22,2025-08-23 07:00:00,High,,Pending,-65.0,0.0,,INVALID,Missing case_id; Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Pending
CS000457,C01189,2025-12-08,2026-01-06 14:00:00,High,Technical,Open,-62.0,5.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Open
CS000458,C01648,2025-11-11,,Medium,Billing,Closed,895.0,1.0,,INVALID,Support case references customer not in subscriptions; Closed case missing closure date/resolution hours,Closed
CS000459,C00929,2024-07-16,,Low,Access,Pending,54.0,,N,INVALID,Support case references customer not in subscriptions,Pending
CS000460,C01442,2025-03-04,2025-03-08 01:00:00,High,Cancellation,Escalated,428.0,0.0,,INVALID,CSAT score outside 1-5 range,Escalated
CS000461,C00726,2026-01-25,2026-02-09 00:00:00,Critical,,Pending,-3.0,0.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Pending
CS000462,C01200,2025-08-30,2025-09-30 10:00:00,High,Billing,,-19.0,3.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; Missing case_status,Nan
CS000463,C00666,2025-07-28,2025-08-03 17:00:00,High,Billing,Pending,502.0,0.0,Y,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Pending
CS000464,C01748,2024-06-04,2024-06-14 17:00:00,,Technical,Open,,3.0,Y,INVALID,Support case references customer not in subscriptions,Open
CS000465,C00306,2024-04-18,2024-05-13 21:00:00,Critical,Billing,Escalated,,,,INVALID,Support case references customer not in subscriptions,Escalated
,C00316,2024-12-17,,,Access,Open,,,N,INVALID,Missing case_id; Support case references customer not in subscriptions,Open
CS000467,C01666,2024-03-18,,Low,Billing,,,6.0,,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Missing case_status,Nan
CS000468,C01334,2025-02-21,,,,Open,-49.0,2.0,N,INVALID,Negative resolution_hours,Open
CS000469,C00335,2025-02-24,2025-02-25 18:00:00,,Technical,,,0.0,Y,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Missing case_status,Nan
CS000470,C01031,2025-05-02,2025-05-03 03:00:00,High,Data Issue,,-15.0,4.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; Missing case_status,Nan
CS000471,C00862,2024-03-31,2024-04-20 14:00:00,Critical,,Pending,,,Y,INVALID,Support case references customer not in subscriptions,Pending
CS000472,C00353,2025-04-23,2025-05-25 07:00:00,,Access,Escalated,,6.0,Y,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Escalated
CS000473,C00002,2025-06-17,2025-07-23 03:00:00,High,Technical,Escalated,525.0,3.0,Y,INVALID,Support case references customer not in subscriptions,Escalated
CS000474,C00328,2025-05-27,,,Cancellation,Escalated,-82.0,7.0,Y,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Escalated
CS000475,C01204,2026-01-25,,Low,Cancellation,Open,,7.0,Y,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Open
CS000476,C00491,2024-03-06,2024-03-31 01:00:00,Medium,Data Issue,Escalated,358.0,1.0,Y,INVALID,Support case references customer not in subscriptions,Escalated
CS000477,C01144,2025-08-08,2025-08-22 17:00:00,Medium,Access,Open,-28.0,0.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Open
CS000478,C01400,2024-04-20,2024-05-19 18:00:00,Critical,Billing,Escalated,,3.0,N,VALID,No issues detected,Escalated
CS000479,C01790,2024-05-29,2024-06-14 03:00:00,Critical,Cancellation,Pending,,6.0,N,INVALID,CSAT score outside 1-5 range,Pending
