subscription_id,customer_id,region,plan_name,signup_date,renewal_date,monthly_fee,discount_pct,auto_renew,subscription_status,sales_channel,record_status,status_reason,subscription_status_norm
S000679,C00427,North,Pro,2024-12-28,2025-10-11,40655.38,-12.0,,Active,Website,INVALID,Discount_pct outside 0-100 range,Active
S000680,C01105,South,Growth,2025-03-21,2026-04-28,59323.84,69.0,Y,Active,Website,VALID,No issues detected,Active
S000681,C01056,Central,Growth,2024-01-30,,22029.2,127.0,,Expired,Partner,INVALID,Discount_pct outside 0-100 range,Expired
S000682,C00469,East,Enterprise,2024-02-04,2024-08-12,15554.3,114.0,N,,Inside Sales,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000683,,East,Basic,2024-01-16,2024-03-11,2675.4,-15.0,,,,INVALID,Missing customer_id; Discount_pct outside 0-100 range; Missing subscription_status,Nan
,C00380,,Growth,2024-12-04,2025-08-23,49698.03,54.0,N,Expired,Inside Sales,INVALID,Missing subscription_id,Expired
,C01256,Central,Growth,2025-07-08,2026-03-29,11514.39,114.0,,,Partner,INVALID,Missing subscription_id; Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000686,C01483,,Pro,2025-11-28,2026-05-15,57876.62,-12.0,Y,Trial,Partner,INVALID,Discount_pct outside 0-100 range,Trial
S000687,C01466,North,Growth,2025-05-25,,77001.69,155.0,,,Website,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
,,Central,Basic,2024-01-19,2024-04-01,68630.61,35.0,Y,Expired,Marketplace,INVALID,Missing subscription_id; Missing customer_id,Expired
S000689,C01677,,Enterprise,2024-11-29,2025-08-24,-19620.92,65.0,,,Website,INVALID,Negative monthly_fee; Missing subscription_status,Nan
S000690,C01560,South,,2025-09-13,2025-07-30,10415.32,128.0,Y,,,INVALID,Renewal date earlier than signup date; Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000691,C01375,East,Enterprise,2025-06-27,2025-09-24,-27394.81,-1.0,,,Partner,INVALID,Negative monthly_fee; Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000692,C00129,,Pro,2025-02-18,2025-09-18,,-26.0,N,Trial,Inside Sales,INVALID,Missing monthly_fee; Discount_pct outside 0-100 range,Trial
S000693,C00103,North,Enterprise,2025-09-06,2025-12-20,76285.39,70.0,N,Cancelled,,VALID,No issues detected,Cancelled
S000694,C00795,South,Basic,2025-08-06,,1161.89,62.0,,Active,,SUSPICIOUS,Active subscription with missing/implausible renewal date,Active
S000695,C00684,West,Growth,2024-11-15,2025-01-29,,-13.0,N,Expired,Website,INVALID,Missing monthly_fee; Discount_pct outside 0-100 range,Expired
S000696,C01111,North,Enterprise,2025-01-02,2025-09-11,37393.26,0.0,,,Marketplace,SUSPICIOUS,Missing subscription_status,Nan
S000697,C01387,South,Basic,2024-10-09,2025-04-22,76071.61,-28.0,N,Cancelled,Partner,INVALID,Discount_pct outside 0-100 range,Cancelled
S000698,C01238,North,Enterprise,2024-07-05,2024-10-01,1211.36,20.0,,Expired,,VALID,No issues detected,Expired
S000699,C00733,Central,Growth,2024-10-26,2025-04-09,7668.27,133.0,Y,Cancelled,Inside Sales,INVALID,Discount_pct outside 0-100 range,Cancelled
S000700,C00225,North,,2025-02-06,2025-05-16,77337.35,0.0,N,Active,Inside Sales,VALID,No issues detected,Active
S000701,C00132,East,Growth,2025-04-29,2025-03-09,45188.7,61.0,,Active,Marketplace,INVALID,Renewal date earlier than signup date,Active
S000702,C00337,,Pro,2024-11-18,2025-04-27,,21.0,,,Partner,SUSPICIOUS,Missing monthly_fee; Missing subscription_status,Nan
S000703,C00589,East,,2025-03-09,2025-09-23,30033.88,-9.0,,,Website,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000704,,West,,2024-04-01,2024-09-02,73557.26,9.0,,Active,Partner,INVALID,Missing customer_id,Active
,C00573,South,,2024-12-29,2025-06-18,,-9.0,,Cancelled,Inside Sales,INVALID,Missing subscription_id; Missing monthly_fee; Discount_pct outside 0-100 range,Cancelled
S000706,C00013,North,Basic,2024-03-29,2024-12-23,29044.06,0.0,Y,Cancelled,Inside Sales,VALID,No issues detected,Cancelled
S000707,C01120,East,Pro,2024-09-26,2025-05-18,5773.67,134.0,Y,Active,Marketplace,INVALID,Discount_pct outside 0-100 range,Active
S000708,C01150,West,Growth,2024-06-15,,57788.08,-13.0,N,Trial,Partner,INVALID,Discount_pct outside 0-100 range,Trial
S000709,C00327,East,Enterprise,2025-05-31,2026-01-07,41654.08,37.0,Y,Trial,Marketplace,VALID,No issues detected,Trial
S000710,C01641,North,Basic,2024-02-03,2024-05-27,,0.0,N,,Inside Sales,SUSPICIOUS,Missing monthly_fee; Missing subscription_status,Nan
S000711,C00640,,Enterprise,2024-08-17,2025-09-21,78148.13,-5.0,,,Inside Sales,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000712,C00635,West,Growth,2025-10-19,,10029.2,0.0,N,Cancelled,Marketplace,VALID,No issues detected,Cancelled
S000713,C01336,Central,Pro,2025-03-01,2026-04-07,64824.14,-30.0,Y,Expired,Marketplace,INVALID,Discount_pct outside 0-100 range,Expired
S000714,C00435,,Enterprise,2024-03-15,2025-01-05,63082.58,0.0,N,Trial,Partner,VALID,No issues detected,Trial
S000715,C01403,South,Growth,2025-04-29,2026-05-15,7443.89,30.0,Y,Expired,Website,VALID,No issues detected,Expired
S000716,C00915,North,,2024-07-02,2025-08-18,17513.02,0.0,,Active,Marketplace,VALID,No issues detected,Active
S000717,C00899,Central,Basic,2025-03-13,2025-09-15,27791.25,0.0,Y,Active,Inside Sales,VALID,No issues detected,Active
,C00929,East,Growth,2024-07-18,2024-06-04,26682.59,140.0,Y,Cancelled,Marketplace,INVALID,Missing subscription_id; Renewal date earlier than signup date; Discount_pct outside 0-100 range,Cancelled
,C01119,South,Pro,2025-09-07,2025-11-12,12278.37,0.0,Y,Trial,Website,INVALID,Missing subscription_id,Trial
S000720,C00788,,Enterprise,2024-07-17,,43106.41,120.0,Y,,Marketplace,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000721,C00034,North,Growth,2024-09-04,2024-08-02,,150.0,Y,,Inside Sales,INVALID,Renewal date earlier than signup date; Missing monthly_fee; Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000722,C00745,North,,2024-07-07,2024-05-18,43749.93,0.0,N,Cancelled,Website,INVALID,Renewal date earlier than signup date,Cancelled
S000723,C00103,,Pro,2025-04-24,2025-11-27,40214.97,0.0,,Active,,VALID,No issues detected,Active
S000724,C01468,,Pro,2025-05-08,2026-06-22,10119.11,103.0,N,,Marketplace,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000725,C01066,West,Basic,2024-05-14,2025-07-03,74377.96,150.0,N,Expired,Website,INVALID,Discount_pct outside 0-100 range,Expired
S000726,C01330,South,,2025-06-20,2025-05-01,36583.98,114.0,,Trial,Marketplace,INVALID,Renewal date earlier than signup date; Discount_pct outside 0-100 range,Trial
S000727,C00792,South,,2025-07-02,2026-03-04,15703.93,0.0,N,Trial,Partner,VALID,No issues detected,Trial
S000728,C01220,West,Pro,2025-05-25,2025-10-27,,109.0,N,,Website,INVALID,Missing monthly_fee; Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000729,C00730,,Enterprise,2025-03-03,2025-03-18,43784.72,-19.0,,,,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000730,,West,Pro,2025-03-11,,72103.23,156.0,,Cancelled,Inside Sales,INVALID,Missing customer_id; Discount_pct outside 0-100 range,Cancelled
S000731,C00011,East,Basic,2024-03-23,2024-11-04,23418.02,69.0,,Trial,Website,VALID,No issues detected,Trial
S000732,C01000,South,Pro,2024-11-10,2024-12-18,27206.54,-6.0,Y,Cancelled,Marketplace,INVALID,Discount_pct outside 0-100 range,Cancelled
,C01482,North,Growth,2024-12-23,2026-01-13,32385.47,106.0,,Trial,Website,INVALID,Missing subscription_id; Discount_pct outside 0-100 range,Trial
S000734,C00991,North,Growth,2024-08-13,,-31352.06,-5.0,Y,Trial,Partner,INVALID,Negative monthly_fee; Discount_pct outside 0-100 range,Trial
S000735,C00056,North,Basic,2025-09-14,2025-10-23,61413.38,134.0,Y,Expired,,INVALID,Discount_pct outside 0-100 range,Expired
S000736,C00149,,Growth,2024-01-18,2024-06-12,65457.76,67.0,Y,Expired,Website,VALID,No issues detected,Expired
S000737,C00127,North,Pro,2025-07-28,2026-01-03,16908.25,-16.0,Y,Active,Website,INVALID,Discount_pct outside 0-100 range,Active
S000738,C01643,North,Growth,2024-04-22,2024-05-29,28238.47,-25.0,Y,Active,Partner,INVALID,Discount_pct outside 0-100 range,Active
S000739,C00563,,Pro,2025-06-18,2026-02-25,30947.99,-18.0,,Expired,Inside Sales,INVALID,Discount_pct outside 0-100 range,Expired
S000740,C01183,,Enterprise,2024-03-16,2024-10-25,66445.66,15.0,N,Active,Website,VALID,No issues detected,Active
S000741,C01482,South,,2025-06-08,2026-07-12,8627.64,0.0,N,Active,Website,VALID,No issues detected,Active
S000742,C00451,East,Growth,2025-10-20,2026-03-23,,128.0,Y,Expired,,INVALID,Missing monthly_fee; Discount_pct outside 0-100 range,Expired
S000743,C01552,West,Basic,2025-06-23,2025-04-27,66571.37,-28.0,,,Website,INVALID,Renewal date earlier than signup date; Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000744,C00219,,Growth,2024-10-05,2025-02-18,40323.17,12.0,N,Cancelled,Website,VALID,No issues detected,Cancelled
S000745,C00254,South,,2025-02-08,,28111.15,-6.0,N,Expired,Marketplace,INVALID,Discount_pct outside 0-100 range,Expired
S000746,C00434,,Pro,2025-09-20,2026-04-29,63853.55,-1.0,N,Expired,Partner,INVALID,Discount_pct outside 0-100 range,Expired
S000747,C00777,South,Enterprise,2025-10-24,2026-11-27,8731.01,0.0,N,Active,Inside Sales,VALID,No issues detected,Active
S000748,C01089,South,,2025-01-14,2025-02-16,-6360.59,0.0,Y,Cancelled,Marketplace,INVALID,Negative monthly_fee,Cancelled
S000749,C00261,South,Enterprise,2024-12-22,,47928.45,156.0,,Cancelled,,INVALID,Discount_pct outside 0-100 range,Cancelled
S000750,C00397,West,Pro,2025-01-02,2025-01-22,20356.02,0.0,,Expired,Marketplace,VALID,No issues detected,Expired
,C01368,West,Growth,2025-11-02,2025-11-01,32377.87,-4.0,N,Active,Marketplace,INVALID,Missing subscription_id; Renewal date earlier than signup date; Discount_pct outside 0-100 range,Active
S000752,C00369,North,Enterprise,2025-09-18,2025-11-07,20991.63,147.0,,Active,Marketplace,INVALID,Discount_pct outside 0-100 range,Active
S000753,C01310,Central,Basic,2025-02-17,2025-04-22,-75383.15,0.0,,Trial,Website,INVALID,Negative monthly_fee,Trial
S000754,C01714,,,2025-10-28,2026-11-20,78251.8,128.0,,Expired,Marketplace,INVALID,Discount_pct outside 0-100 range,Expired
S000755,C00862,West,Growth,2025-10-19,2026-07-31,59246.44,121.0,,Active,Website,INVALID,Discount_pct outside 0-100 range,Active
S000756,C01565,North,,2025-04-12,2026-03-16,54140.26,45.0,,Expired,Partner,VALID,No issues detected,Expired
S000757,C01736,South,Pro,2024-03-09,2024-08-07,3994.2,121.0,N,Trial,,INVALID,Discount_pct outside 0-100 range,Trial
S000758,C00266,South,Basic,2025-05-16,2026-01-17,22953.56,36.0,N,Trial,Marketplace,VALID,No issues detected,Trial
S000759,C00477,North,Growth,2024-01-03,2024-05-15,75545.61,144.0,Y,Trial,Marketplace,INVALID,Discount_pct outside 0-100 range,Trial
S000760,C01176,South,Basic,2024-11-08,2025-02-25,31743.69,65.0,Y,Trial,Website,VALID,No issues detected,Trial
S000761,C00487,North,Growth,2024-07-19,,68115.66,-27.0,Y,Cancelled,Website,INVALID,Discount_pct outside 0-100 range,Cancelled
S000762,C01138,,Growth,2025-04-21,2025-06-23,20456.55,131.0,N,,,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000763,C00462,North,Pro,2025-07-16,,72943.95,1.0,,Expired,,VALID,No issues detected,Expired
S000764,C00532,East,Basic,2025-06-11,,55134.79,35.0,N,Trial,Website,VALID,No issues detected,Trial
S000765,C00466,,Growth,2025-09-29,2026-07-13,39405.69,146.0,,Cancelled,Inside Sales,INVALID,Discount_pct outside 0-100 range,Cancelled
S000766,C00401,East,Enterprise,2025-08-30,2025-08-17,76021.0,16.0,N,Cancelled,Marketplace,INVALID,Renewal date earlier than signup date,Cancelled
S000767,C00207,East,Growth,2025-03-08,2025-03-25,13606.8,0.0,N,Cancelled,,VALID,No issues detected,Cancelled
S000768,C00253,North,Basic,2024-07-11,2024-12-26,-6194.3,0.0,,Cancelled,,INVALID,Negative monthly_fee,Cancelled
S000769,C01276,North,,2025-04-01,2025-07-31,-40263.61,14.0,N,Cancelled,Partner,INVALID,Negative monthly_fee,Cancelled
S000770,C01205,North,Pro,2024-06-19,2024-05-30,69895.44,8.0,,Expired,,INVALID,Renewal date earlier than signup date,Expired
S000771,,West,Enterprise,2025-07-26,2026-07-05,79038.91,0.0,Y,Cancelled,,INVALID,Missing customer_id,Cancelled
S000772,,South,Growth,2025-10-19,2026-11-05,17494.27,11.0,N,Active,Marketplace,INVALID,Missing customer_id,Active
S000773,C01645,West,Basic,2024-06-06,2025-03-22,25344.42,0.0,Y,Expired,Partner,VALID,No issues detected,Expired
,,East,Enterprise,2024-03-11,2024-10-22,20794.25,1.0,,Active,,INVALID,Missing subscription_id; Missing customer_id,Active
S000775,C01458,,Basic,2025-06-03,2025-11-30,,26.0,Y,,Marketplace,SUSPICIOUS,Missing monthly_fee; Missing subscription_status,Nan
S000776,C00849,West,Basic,2025-08-24,2026-02-04,33009.02,33.0,,Active,Website,VALID,No issues detected,Active
S000777,C01385,West,Basic,2024-12-02,2026-01-12,45732.4,149.0,Y,Cancelled,Website,INVALID,Discount_pct outside 0-100 range,Cancelled
S000778,C00661,North,Enterprise,2024-04-22,,59639.44,-5.0,N,,Partner,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000779,C01277,North,Growth,2024-03-22,,20755.48,60.0,N,Expired,Inside Sales,VALID,No issues detected,Expired
S000780,C01167,South,Basic,2025-10-16,2026-06-20,76864.5,0.0,,Trial,Marketplace,VALID,No issues detected,Trial
,,East,Growth,2025-03-05,2025-04-12,65527.79,130.0,,Trial,Website,INVALID,Missing subscription_id; Missing customer_id; Discount_pct outside 0-100 range,Trial
S000782,C00812,West,Enterprise,2024-10-25,2025-03-17,,0.0,Y,Expired,Partner,SUSPICIOUS,Missing monthly_fee,Expired
S000783,C00562,,Growth,2024-09-05,2024-11-17,60290.54,-12.0,N,Active,Partner,INVALID,Discount_pct outside 0-100 range,Active
S000784,C01654,West,Pro,2024-06-25,2024-09-15,67846.25,-15.0,N,Cancelled,Partner,INVALID,Discount_pct outside 0-100 range,Cancelled
S000785,C00922,Central,,2025-04-07,2025-09-18,9488.83,0.0,N,Expired,Inside Sales,VALID,No issues detected,Expired
S000786,C01418,South,Basic,2025-07-04,2025-08-31,34564.3,0.0,Y,Trial,Inside Sales,VALID,No issues detected,Trial
S000787,C00681,North,,2025-07-12,2026-07-08,,0.0,,Cancelled,Marketplace,SUSPICIOUS,Missing monthly_fee,Cancelled
S000788,C00379,East,Enterprise,2025-07-23,2025-09-21,73336.43,-10.0,Y,Expired,Partner,INVALID,Discount_pct outside 0-100 range,Expired
S000789,C01401,,Pro,2024-07-06,,50192.47,126.0,,Trial,Partner,INVALID,Discount_pct outside 0-100 range,Trial
S000790,C00333,,Basic,2025-11-08,2026-05-05,5328.75,28.0,,Active,Website,VALID,No issues detected,Active
S000791,C01186,South,Enterprise,2025-08-15,2025-08-09,68293.66,46.0,Y,Cancelled,Marketplace,INVALID,Renewal date earlier than signup date,Cancelled
S000792,C01786,West,Pro,2024-08-22,,20060.32,-13.0,N,Trial,Website,INVALID,Discount_pct outside 0-100 range,Trial
S000793,C01575,,Basic,2024-08-21,2025-08-28,20993.09,0.0,,,Website,SUSPICIOUS,Missing subscription_status,Nan
S000794,C00141,Central,Pro,2024-01-09,2024-08-31,48765.73,0.0,N,,Inside Sales,SUSPICIOUS,Missing subscription_status,Nan
S000795,C01719,North,Basic,2024-08-16,2024-09-27,21238.15,0.0,N,Expired,Website,VALID,No issues detected,Expired
S000796,C01466,West,Growth,2025-03-30,2025-02-12,25801.64,136.0,Y,Active,,INVALID,Renewal date earlier than signup date; Discount_pct outside 0-100 range,Active
S000797,C00617,South,Enterprise,2024-12-23,2025-10-21,8167.92,-4.0,,Expired,Inside Sales,INVALID,Discount_pct outside 0-100 range,Expired
S000798,C00181,West,,2024-11-23,2025-10-25,45229.74,-7.0,N,Trial,Marketplace,INVALID,Discount_pct outside 0-100 range,Trial
S000799,C00352,West,Enterprise,2024-05-26,2025-03-22,,32.0,Y,Active,Website,SUSPICIOUS,Missing monthly_fee,Active
S000800,C00694,North,,2025-02-10,2025-03-25,67063.34,-21.0,Y,Active,Marketplace,INVALID,Discount_pct outside 0-100 range,Active
S000801,,West,Pro,2024-05-08,2025-06-02,22230.64,54.0,Y,Active,,INVALID,Missing customer_id,Active
,C00930,North,Pro,2025-06-10,2026-05-23,,0.0,Y,Active,Partner,INVALID,Missing subscription_id; Missing monthly_fee,Active
,,,Pro,2024-06-07,2025-08-01,,55.0,N,Trial,,INVALID,Missing subscription_id; Missing customer_id; Missing monthly_fee,Trial
S000804,C00395,South,Basic,2025-05-01,2025-06-25,,111.0,,Active,Inside Sales,INVALID,Missing monthly_fee; Discount_pct outside 0-100 range,Active
S000805,C01127,,,2024-10-11,,69757.7,24.0,N,Trial,Marketplace,VALID,No issues detected,Trial
S000806,C01006,South,Basic,2025-02-06,2025-02-02,24189.57,-4.0,N,,Inside Sales,INVALID,Renewal date earlier than signup date; Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000807,C00528,North,Basic,2024-02-29,2025-03-06,63498.06,0.0,,Active,,VALID,No issues detected,Active
S000808,C00901,South,Basic,2025-09-04,2026-08-22,30974.2,0.0,N,Expired,Marketplace,VALID,No issues detected,Expired
,C00692,South,Basic,2024-07-13,2024-06-01,59586.95,0.0,Y,,Partner,INVALID,Missing subscription_id; Renewal date earlier than signup date; Missing subscription_status,Nan
S000810,C01484,Central,Pro,2025-03-08,2026-03-04,27438.26,1.0,N,Expired,Partner,VALID,No issues detected,Expired
S000811,C01110,South,Basic,2024-06-14,2025-06-15,6317.79,-29.0,,,,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000812,C00418,Central,Pro,2024-07-18,2025-06-01,71749.61,12.0,,Active,,VALID,No issues detected,Active
S000813,C01795,West,Basic,2025-04-19,2025-04-15,8952.97,-16.0,N,Expired,Partner,INVALID,Renewal date earlier than signup date; Discount_pct outside 0-100 range,Expired
S000814,C01467,Central,Growth,2024-05-18,2024-06-28,76961.53,-25.0,Y,Active,Website,INVALID,Discount_pct outside 0-100 range,Active
S000815,,Central,Basic,2024-02-07,,68899.51,10.0,Y,Cancelled,Partner,INVALID,Missing customer_id,Cancelled
S000816,C01077,South,Pro,2024-05-05,2025-02-27,44415.08,154.0,,Expired,Marketplace,INVALID,Discount_pct outside 0-100 range,Expired
S000817,C01205,West,Pro,2025-06-21,2026-05-17,16041.93,-29.0,N,Cancelled,Marketplace,INVALID,Discount_pct outside 0-100 range,Cancelled
S000818,C00246,South,Basic,2024-09-09,2025-05-28,62870.41,-19.0,N,,,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000819,C00641,East,Growth,2025-04-25,2025-05-15,25486.83,-21.0,Y,Active,,INVALID,Discount_pct outside 0-100 range,Active
S000820,C00689,,Growth,2024-05-05,2024-04-21,53177.88,0.0,,Trial,Marketplace,INVALID,Renewal date earlier than signup date,Trial
S000821,C00851,Central,,2024-06-23,2024-05-13,6625.16,137.0,Y,Cancelled,Partner,INVALID,Renewal date earlier than signup date; Discount_pct outside 0-100 range,Cancelled
S000822,C01631,,Basic,2025-04-08,2025-10-07,66385.32,0.0,Y,Expired,Inside Sales,VALID,No issues detected,Expired
S000823,,Central,Enterprise,2025-09-30,2026-04-08,4891.81,70.0,Y,Active,Inside Sales,INVALID,Missing customer_id,Active
S000824,C01671,South,,2025-06-08,2025-09-29,72389.62,-28.0,,Cancelled,Marketplace,INVALID,Discount_pct outside 0-100 range,Cancelled
S000825,C01714,North,Growth,2025-10-04,2025-12-07,55289.17,127.0,,,Partner,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000826,C00493,West,Growth,2024-08-01,2025-01-21,4206.73,110.0,,Trial,Website,INVALID,Discount_pct outside 0-100 range,Trial
S000827,C00332,East,Basic,2025-01-15,2025-03-25,,4.0,,Trial,Inside Sales,SUSPICIOUS,Missing monthly_fee,Trial
S000828,,West,Enterprise,2024-01-26,2025-01-24,13956.83,-16.0,Y,Cancelled,,INVALID,Missing customer_id; Discount_pct outside 0-100 range,Cancelled
S000829,C01599,North,Basic,2025-01-29,2025-12-30,-48745.97,-4.0,Y,Active,Marketplace,INVALID,Negative monthly_fee; Discount_pct outside 0-100 range,Active
S000830,C01545,East,,2024-02-22,2025-01-17,35765.0,149.0,Y,,,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000831,C01441,,Enterprise,2025-06-18,2026-03-11,41819.91,0.0,N,Trial,Partner,VALID,No issues detected,Trial
S000832,C00635,East,Basic,2024-05-15,2025-05-13,1508.12,-20.0,Y,Cancelled,Website,INVALID,Discount_pct outside 0-100 range,Cancelled
S000833,C00823,,Pro,2024-09-03,2025-06-29,42779.73,-14.0,,Active,Inside Sales,INVALID,Discount_pct outside 0-100 range,Active
S000834,,,Growth,2025-11-02,2026-04-09,67480.44,110.0,,Trial,Partner,INVALID,Missing customer_id; Discount_pct outside 0-100 range,Trial
S000835,C00201,West,Pro,2025-06-16,2025-11-15,71231.23,0.0,,Trial,Partner,VALID,No issues detected,Trial
S000836,C01225,,Pro,2025-01-19,2025-08-14,1105.69,-24.0,,Expired,,INVALID,Discount_pct outside 0-100 range,Expired
S000837,C00861,North,,2024-07-27,,68960.43,-24.0,N,,,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000838,C01144,,Enterprise,2024-07-05,2024-10-16,57595.96,112.0,Y,Active,Website,INVALID,Discount_pct outside 0-100 range,Active
S000839,C00033,West,Basic,2024-08-17,2024-09-13,55921.48,-25.0,Y,Cancelled,Website,INVALID,Discount_pct outside 0-100 range,Cancelled
S000840,C01003,West,Pro,2025-06-14,,,53.0,,,Website,SUSPICIOUS,Missing monthly_fee; Missing subscription_status,Nan
S000841,C00368,South,Pro,2024-12-05,,54765.02,110.0,N,Active,Inside Sales,INVALID,Discount_pct outside 0-100 range; Active subscription with missing/implausible renewal date,Active
S000842,C01246,East,Pro,2025-05-19,2025-08-02,9931.35,45.0,,,Marketplace,SUSPICIOUS,Missing subscription_status,Nan
S000843,C01787,,Basic,2024-03-22,2024-12-01,48437.46,27.0,N,Cancelled,Marketplace,VALID,No issues detected,Cancelled
S000844,C01632,Central,,2024-01-19,2024-06-25,57819.39,0.0,,,Website,SUSPICIOUS,Missing subscription_status,Nan
S000845,C01525,East,Pro,2025-09-20,,41105.63,52.0,,Active,Marketplace,SUSPICIOUS,Active subscription with missing/implausible renewal date,Active
S000846,C00901,West,,2025-11-15,2026-05-20,35022.0,107.0,Y,Active,Website,INVALID,Discount_pct outside 0-100 range,Active
S000847,,North,Basic,2024-03-20,2024-06-10,49945.1,-30.0,,,Marketplace,INVALID,Missing customer_id; Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000848,C01056,South,Growth,2025-05-18,2026-01-19,,0.0,Y,,Partner,SUSPICIOUS,Missing monthly_fee; Missing subscription_status,Nan
S000849,C01514,Central,,2024-06-10,2025-01-01,21571.38,-2.0,Y,,Partner,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
,C00693,East,Basic,2024-05-26,2024-08-08,62813.34,135.0,N,Cancelled,Marketplace,INVALID,Missing subscription_id; Discount_pct outside 0-100 range,Cancelled
S000851,C00397,West,,2025-04-09,2025-12-14,65217.2,110.0,N,Active,Website,INVALID,Discount_pct outside 0-100 range,Active
S000852,C01145,North,Pro,2025-01-13,2025-02-04,42464.49,112.0,N,,,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000853,C00943,Central,Basic,2025-05-04,2025-10-09,11915.67,-29.0,,Expired,,INVALID,Discount_pct outside 0-100 range,Expired
S000854,C00136,West,Growth,2024-07-03,2024-07-23,3052.39,57.0,N,Trial,Inside Sales,VALID,No issues detected,Trial
S000855,C01631,West,Enterprise,2024-11-08,2025-02-25,46854.32,37.0,Y,Trial,Partner,VALID,No issues detected,Trial
S000856,C00659,,Basic,2024-02-25,2024-07-19,5730.78,37.0,Y,Cancelled,Marketplace,VALID,No issues detected,Cancelled
S000857,C00673,South,Basic,2024-01-13,2024-10-17,76492.98,134.0,N,Expired,Website,INVALID,Discount_pct outside 0-100 range,Expired
S000858,C00694,Central,Growth,2024-06-09,,,30.0,N,Cancelled,Marketplace,SUSPICIOUS,Missing monthly_fee,Cancelled
S000859,C00675,Central,,2024-06-09,2025-06-18,72261.17,0.0,,Trial,Inside Sales,VALID,No issues detected,Trial
S000860,C00163,South,Pro,2025-11-19,2026-01-22,26560.64,0.0,N,Cancelled,Website,VALID,No issues detected,Cancelled
S000861,C00431,South,Pro,2025-05-06,2025-12-16,58958.75,-28.0,N,Active,,INVALID,Discount_pct outside 0-100 range,Active
S000862,C00442,South,Enterprise,2025-07-29,2026-01-09,,126.0,N,Active,Website,INVALID,Missing monthly_fee; Discount_pct outside 0-100 range,Active
S000863,C00330,,Growth,2024-09-07,2025-02-07,59900.99,-9.0,,Expired,,INVALID,Discount_pct outside 0-100 range,Expired
S000864,C00104,,Enterprise,2025-03-16,2025-11-12,69580.87,-21.0,N,,Website,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000865,C00200,South,Pro,2025-10-12,2025-09-18,1858.09,139.0,N,Expired,Partner,INVALID,Renewal date earlier than signup date; Discount_pct outside 0-100 range,Expired
S000866,C01522,West,Enterprise,2024-03-23,2025-02-14,74109.44,0.0,,,Partner,SUSPICIOUS,Missing subscription_status,Nan
S000867,C00614,Central,Growth,2024-09-14,2025-10-16,52991.68,-8.0,,Trial,Website,INVALID,Discount_pct outside 0-100 range,Trial
S000868,C01434,,Enterprise,2024-05-03,2024-09-05,62320.88,0.0,,Active,Marketplace,VALID,No issues detected,Active
,C01486,East,,2025-09-04,2026-07-18,57731.32,-30.0,N,Expired,Marketplace,INVALID,Missing subscription_id; Discount_pct outside 0-100 range,Expired
S000870,C00307,North,Pro,2024-11-05,2025-09-03,5945.7,0.0,N,Trial,Partner,VALID,No issues detected,Trial
,C00899,,Growth,2025-06-28,,61972.35,0.0,,Expired,Website,INVALID,Missing subscription_id,Expired
S000872,C01597,North,Enterprise,2024-03-18,2025-01-12,9943.39,-11.0,Y,Cancelled,,INVALID,Discount_pct outside 0-100 range,Cancelled
S000873,,North,,2025-11-13,2026-09-27,47711.97,0.0,,Cancelled,Website,INVALID,Missing customer_id,Cancelled
S000874,C00379,,Enterprise,2025-05-27,2025-08-01,52943.65,127.0,,Cancelled,Inside Sales,INVALID,Discount_pct outside 0-100 range,Cancelled
S000875,,West,Enterprise,2024-02-03,2024-01-01,,-6.0,N,Trial,,INVALID,Missing customer_id; Renewal date earlier than signup date; Missing monthly_fee; Discount_pct outside 0-100 range,Trial
S000876,C00577,North,Growth,2025-10-12,2026-10-27,,-11.0,Y,,Marketplace,INVALID,Missing monthly_fee; Discount_pct outside 0-100 range; Missing subscription_status,Nan
